country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0,0,14.3,0,0,18.9,0,24,0,34.3,38.6,39.9,0,45.2,50.5,0,
Albania,0,0,0,0,0,92.7,93,92.6,86.4,87.2,89.1,89.1,91.2,98.8,99.1,99,99.1,99,98,98.8,99.3,99.8,99,0,0,99.3,0,0,0,0,0,0,0,
Algeria,0,0,0,0,0,0,0,0,76.5,0,0,0,0,0,0,0,92.6,0,95.9,0,0,0,95.2,0,0,0,0,0,96.6,96.6,0,0,0,
Angola,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,44.7,0,0,0,0,0,47.3,0,0,0,0,0,0,0,0,49.6,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,0,99.9,100,99,99,100,99.9,99.9,100,100,100,100,0,100,100,100,0,0,
Argentina,0,0,0,0,0,0,96.9,0,95.8,0,0,98.5,0,97.2,97.5,97.5,99.1,98.4,98.9,98.7,99.1,99.1,99.4,99.4,94.8,97.9,95,97.1,98.2,97,99.6,0,0,
Armenia,0,0,0,0,0,99.7,99.7,99.7,98.3,95.5,93.3,93.1,95.7,96.4,97.4,98.8,96.8,98.4,98.8,99.2,99.5,97.8,99.7,99.9,99.9,100,99.5,100,100,100,100,0,99.8,
Australia,0,0,0,0,0,0,0,100,99.3,99.3,99.4,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,0,99.3,0,0,0,
Austria,0,0,0,0,0,0,0,0,0,100,0,0,98.2,98.2,98.3,98.3,98.3,98.3,98.4,98.4,98.4,98.6,98.6,98.5,98.6,98.6,98.5,98.6,98.5,98.5,98.5,0,0,
Azerbaijan,0,0,0,0,0,97.3,97.3,97.2,96.5,96.3,99.6,91.5,87.9,90.4,91.5,92.4,80.7,88,94,95.8,95.9,94.4,95.8,93,98,99.8,99.4,97.2,99.8,99.9,99.9,99.8,0,
Bahamas,0,0,0,0,0,0,99,0,0,0,0,99,0,99,99,99,99,0,99,99,98,0,99,99,99,0,99,99,0,98,0,0,0,
Bahrain,0,0,0,0,0,0,0,0,0,0,0,97.6,0,0,0,0,97.7,97.5,97.6,97.8,99.4,100,97.5,97.4,97.5,99.4,99.3,99.6,99.8,99.8,99.8,0,0,
Bangladesh,0,0,0,0,0,0,0,0,0,0,9.5,0,0,8,0,0,12.1,12,0,13.9,13.2,0,20.1,18,0,24.4,26.5,31.7,0,36.5,42.1,0,0,
Barbados,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,91,98,0,100,100,100,100,100,100,100,0,0,100,98.9,98.6,0,0,0,
Belarus,0,0,100,0,0,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,100,99.8,99.8,0,0,
Belgium,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,99.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belize,0,0,0,0,0,0,0,76.9,0,0,0,79,0,0,79,83.8,100,0,97,0,87.8,89.3,95.8,94.6,94.9,93.5,94,96.2,0,94.2,0,0,96.8,
