country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,0,0,0,0,0,0,0,5.62,6.83,7.81,11.6,11.8,12.2,11.8,11.6,11.7
Albania,50,39.6,39.2,39.5,43.3,36.1,38.2,36.1,35.9,39.7,40.2,39.4,38.2,39.6,41.2,39
Algeria,75.4,77.6,74.3,73.8,72.8,73.3,77.4,77.3,78.7,71.1,72.1,74.4,77.3,79.5,79.3,77.9
Andorra,64.4,65.2,66.2,72,66.2,64.8,68.8,68.8,68.6,69.2,69.1,70.4,69.8,69.9,70.1,70.1
Angola,86.8,76.9,77.9,73,74.2,79.2,85.5,78.8,81.1,76,74.5,79.3,80.2,84.3,89.9,82.5
Antigua and Barbuda,66.5,64.2,66,68,69.3,69,65.5,65.2,64.2,63.4,63.1,65.7,66.4,67.9,67.1,71
Argentina,59.8,57.7,54.5,54.2,55.1,53.9,54.2,53.6,52.3,52.3,54.2,55.8,59.4,62.6,66.4,54.6
Armenia,31,27.9,24.3,28.5,28.3,18.1,26.7,25.2,27.3,25.4,30.4,38,41.6,44.5,43.5,40.6
Australia,65.8,65.3,66.9,66.4,68.4,66.8,66.3,66.9,66.1,66.7,66.9,66.6,67.5,68,68,68
Austria,74,73.5,75.7,76,76.8,76.8,76.1,75.8,75.5,75.7,76.1,76,76.4,77.2,77.7,77.5
Azerbaijan,23.8,23.9,22.4,16.5,18.3,18.5,18.9,17.7,12.7,13,11.3,14.2,19.6,19.3,23.1,20.3
Bahamas,39.9,40.1,41.8,44.9,46.8,47.6,47.5,47.1,46.7,47.2,44.3,47.2,45,45.2,46.8,45.6
Bahrain,69.6,69.2,70.1,68.8,69.2,67.5,67,66.6,66.9,67.2,69,70,70.7,71.2,70.1,73.3
Bangladesh,36.1,36.2,42.3,40.8,39.9,39,39.9,39.7,37.6,38.8,34.9,36.5,34.4,31.7,33,34.3
Barbados,68,68.3,65.2,65.4,65.4,65.8,67.6,68.4,65.6,64.5,64.4,64.8,64,65.5,58.6,65
Belarus,71.1,75.3,82.3,77,76.5,75.5,71.5,70.5,73.8,74.7,72.9,70.2,69.2,65.1,64,77.7
Belgium,76.8,78.2,75.4,74.8,74.6,74.6,75.4,73.8,74.8,76,75.9,73.9,73.5,75,75.1,74.7
Belize,62.2,56.6,58,57,55.8,52.8,57.7,56.3,57.4,57.3,59.7,61,63.8,63,63.8,62.7
Benin,45,44.3,42.1,44.2,46,44.2,49.3,44.2,47.8,47.7,49.7,50.2,51,51.7,53.8,49.5
Bhutan,68.4,70.1,69.2,67.2,75.7,79.3,78.4,83.8,74.1,72.5,76,81.1,84.8,86,86.5,86.8
Bolivia,63.8,64.3,66,61.2,58.1,60.1,59.3,62.8,60.1,62.6,66.2,69.9,68.2,65.2,64.6,62.8
Bosnia and Herzegovina,47.1,44.1,44.5,43,54.5,57.6,60.7,63.3,69.2,57.2,55,55.5,56.5,58.2,61.4,61.4
Botswana,52.4,52.5,56.5,56.5,57.8,62.2,70,71.1,68.5,76.6,74.3,72.9,76.5,76,76,72.5
Brazil,43,40.5,43,42.6,42.7,40.3,42.3,44.6,44.4,47,40.1,41.7,41.8,42.8,43.6,47
Brunei,77.8,81.4,81.2,83.8,77.8,86.5,81.1,82.4,83.7,83.7,84.2,84,84.5,86,85.2,84.9
Bulgaria,74,69.6,71.7,69.9,66.3,60.9,58.4,61.3,62.1,60.7,60.9,57,58.2,58.5,55.4,54.5
Burkina Faso,38.7,38.4,41.1,39.9,41.2,39.6,37.4,43.9,46.4,53.7,59.5,56.9,60.3,59,49.7,51
