country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,19.4,0,0,0,0,19.2,0,0,0,0,18.8,0,0,0,0,18.4,0,0,0,0,17.9,0,0,0,0,17.4,0,0,0,0,17,0,0,0,0,16.3,0,0,0,0,15.9,0,0,0,0,16,0,0,0,0,15.7,0,0,0,0,16.1,0,0,0,0,16,0,0,0,0,17.3,0,0,0,0,18.6,0,0,0,0,20.1,0,0,0,0,21.9,0,0,0,0,23.6,0,0,0,0,25.2,0,0,0,0,27,0,0,0,0,28.9,0,0,0,0,30.7,0,0,0,0,32.5,0,0,0,0,34.3,0,0,0,0,35.9,0,0,0,0,37.5,0,0,0,0,39,0,0,0,0,40.3,0,0,0,0,41.4,0,0,0,0,42.3,0,0,0,0,43.2
Albania,21.2,0,0,0,0,20.6,0,0,0,0,20.2,0,0,0,0,19.7,0,0,0,0,19.6,0,0,0,0,20.2,0,0,0,0,21.4,0,0,0,0,22.8,0,0,0,0,24.1,0,0,0,0,24.7,0,0,0,0,27.1,0,0,0,0,29.2,0,0,0,0,32.3,0,0,0,0,36.2,0,0,0,0,38,0,0,0,0,39.8,0,0,0,0,41.5,0,0,0,0,43.3,0,0,0,0,45.3,0,0,0,0,47.5,0,0,0,0,49.5,0,0,0,0,50.6,0,0,0,0,50.9,0,0,0,0,51.4,0,0,0,0,52.1,0,0,0,0,52.8,0,0,0,0,53.3,0,0,0,0,53.7,0,0,0,0,53.6,0,0,0,0,53.3,0,0,0,0,53.2
Algeria,19.4,0,0,0,0,18.6,0,0,0,0,17.9,0,0,0,0,16.6,0,0,0,0,16.4,0,0,0,0,16.5,0,0,0,0,16.7,0,0,0,0,17.1,0,0,0,0,18,0,0,0,0,19.4,0,0,0,0,21.7,0,0,0,0,24.1,0,0,0,0,26,0,0,0,0,27.5,0,0,0,0,29.1,0,0,0,0,30.6,0,0,0,0,31.8,0,0,0,0,32.7,0,0,0,0,33.7,0,0,0,0,35.1,0,0,0,0,37,0,0,0,0,38.8,0,0,0,0,40.4,0,0,0,0,41.7,0,0,0,0,42.7,0,0,0,0,43.3,0,0,0,0,43.8,0,0,0,0,44.4,0,0,0,0,45.3,0,0,0,0,46.3,0,0,0,0,47.2
Angola,19.8,0,0,0,0,18.8,0,0,0,0,17.9,0,0,0,0,16.8,0,0,0,0,16.7,0,0,0,0,16.6,0,0,0,0,16.2,0,0,0,0,16,0,0,0,0,15.8,0,0,0,0,16,0,0,0,0,16.2,0,0,0,0,16.3,0,0,0,0,16.3,0,0,0,0,16.4,0,0,0,0,16.8,0,0,0,0,17.4,0,0,0,0,18.1,0,0,0,0,18.8,0,0,0,0,19.5,0,0,0,0,20.2,0,0,0,0,21.1,0,0,0,0,22.1,0,0,0,0,23,0,0,0,0,24,0,0,0,0,25,0,0,0,0,26,0,0,0,0,27,0,0,0,0,28,0,0,0,0,29,0,0,0,0,30,0,0,0,0,31
Antigua and Barbuda,20.6,0,0,0,0,20,0,0,0,0,18.1,0,0,0,0,18.2,0,0,0,0,18.7,0,0,0,0,19.8,0,0,0,0,21.8,0,0,0,0,23.4,0,0,0,0,24.4,0,0,0,0,26.6,0,0,0,0,28.3,0,0,0,0,28.5,0,0,0,0,29.3,0,0,0,0,30.7,0,0,0,0,32.1,0,0,0,0,33.5,0,0,0,0,35.1,0,0,0,0,36.7,0,0,0,0,38.2,0,0,0,0,39.5,0,0,0,0,40.5,0,0,0,0,41.3,0,0,0,0,42.1,0,0,0,0,43,0,0,0,0,43.9,0,0,0,0,44.8,0,0,0,0,45.5,0,0,0,0,46.1,0,0,0,0,46.5,0,0,0,0,46.9,0,0,0,0,47.3
Argentina,25.7,0,0,0,0,26.3,0,0,0,0,26.9,0,0,0,0,27.2,0,0,0,0,27.4,0,0,0,0,27.4,0,0,0,0,27.3,0,0,0,0,27.3,0,0,0,0,27.2,0,0,0,0,27.4,0,0,0,0,27.9,0,0,0,0,28.7,0,0,0,0,29.9,0,0,0,0,30.8,0,0,0,0,31.9,0,0,0,0,33,0,0,0,0,34.1,0,0,0,0,35.1,0,0,0,0,36.2,0,0,0,0,37.4,0,0,0,0,38.5,0,0,0,0,39.7,0,0,0,0,40.8,0,0,0,0,41.8,0,0,0,0,42.8,0,0,0,0,43.6,0,0,0,0,44.4,0,0,0,0,45.1,0,0,0,0,45.8,0,0,0,0,46.4,0,0,0,0,46.9
Armenia,22.4,0,0,0,0,22.7,0,0,0,0,22.4,0,0,0,0,20.6,0,0,0,0,20.3,0,0,0,0,21.8,0,0,0,0,23.5,0,0,0,0,25.3,0,0,0,0,27.2,0,0,0,0,29.4,0,0,0,0,30.6,0,0,0,0,31.8,0,0,0,0,32.9,0,0,0,0,33.9,0,0,0,0,35.7,0,0,0,0,38,0,0,0,0,40.4,0,0,0,0,42.6,0,0,0,0,44.3,0,0,0,0,45,0,0,0,0,45.5,0,0,0,0,46.6,0,0,0,0,48,0,0,0,0,49.3,0,0,0,0,50.3,0,0,0,0,50.7,0,0,0,0,50.4,0,0,0,0,50,0,0,0,0,50,0,0,0,0,50.3,0,0,0,0,50.6
Australia,30.4,0,0,0,0,30.2,0,0,0,0,29.6,0,0,0,0,28.4,0,0,0,0,27.4,0,0,0,0,28.1,0,0,0,0,29.3,0,0,0,0,30.7,0,0,0,0,32.1,0,0,0,0,33.6,0,0,0,0,35.4,0,0,0,0,36.6,0,0,0,0,36.9,0,0,0,0,37.4,0,0,0,0,37.9,0,0,0,0,38.9,0,0,0,0,39.8,0,0,0,0,40.6,0,0,0,0,41,0,0,0,0,41.2,0,0,0,0,41.5,0,0,0,0,41.9,0,0,0,0,42.5,0,0,0,0,43.1,0,0,0,0,43.7,0,0,0,0,44.1,0,0,0,0,44.5,0,0,0,0,44.9,0,0,0,0,45.4,0,0,0,0,46.1,0,0,0,0,46.7
Austria,35.7,0,0,0,0,35.1,0,0,0,0,35.4,0,0,0,0,34.7,0,0,0,0,33.6,0,0,0,0,33.9,0,0,0,0,35,0,0,0,0,35.8,0,0,0,0,36.5,0,0,0,0,36.3,0,0,0,0,38.2,0,0,0,0,40,0,0,0,0,41.9,0,0,0,0,43.2,0,0,0,0,44.4,0,0,0,0,45.3,0,0,0,0,46.5,0,0,0,0,47.7,0,0,0,0,48.8,0,0,0,0,49.7,0,0,0,0,49.9,0,0,0,0,49.5,0,0,0,0,49.1,0,0,0,0,48.9,0,0,0,0,49,0,0,0,0,49.2,0,0,0,0,49.3,0,0,0,0,49.2,0,0,0,0,49.1,0,0,0,0,49.1,0,0,0,0,49.4
Azerbaijan,21.7,0,0,0,0,22.1,0,0,0,0,22,0,0,0,0,19.1,0,0,0,0,18.2,0,0,0,0,19.1,0,0,0,0,20.9,0,0,0,0,22.8,0,0,0,0,24.1,0,0,0,0,24.6,0,0,0,0,25.6,0,0,0,0,27.1,0,0,0,0,28.7,0,0,0,0,30.3,0,0,0,0,32.4,0,0,0,0,34.6,0,0,0,0,36.7,0,0,0,0,38.3,0,0,0,0,39.2,0,0,0,0,39.5,0,0,0,0,40,0,0,0,0,41.4,0,0,0,0,42.7,0,0,0,0,43.6,0,0,0,0,44,0,0,0,0,44.1,0,0,0,0,44.3,0,0,0,0,44.8,0,0,0,0,45.3,0,0,0,0,45.8,0,0,0,0,46.1
