country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,0,0,0,0,0,0,0,14.8,18.3,20.7,21.9,23.8,28.8,31.8,33.7,37.7
Albania,27.9,43,36.1,47.1,65,75.2,79.9,90.3,113,161,178,192,232,275,260,241
Algeria,62.1,61.8,66.9,66,62.5,62.6,67.8,69.9,79.6,89,96.2,110,141,186,181,178
Andorra,1390,1510,1460,1860,1430,1330,1290,1490,1890,2190,2360,2630,3010,3390,3360,3100
Angola,15.6,11.3,13.5,9.1,8.82,15.8,21.4,18.1,23.9,25.9,36.4,64.1,85.3,149,201,123
Antigua and Barbuda,351,354,372,388,401,408,406,410,434,459,483,534,598,602,601,690
Argentina,615,619,686,706,726,709,678,225,283,332,400,464,562,699,734,742
Armenia,25.7,29.3,30.3,35.2,34,39,41.1,42,51,64.1,77.7,86.9,116,143,129,134
Australia,1570,1760,1760,1590,1750,1710,1630,1850,2320,2870,3140,3330,3960,4230,3950,4780
Austria,2860,2790,2550,2660,2670,2370,2390,2580,3200,3680,3830,4000,4600,5150,5040,4960
Azerbaijan,18.2,25.1,27.5,30.6,30.8,30.4,31.2,33.6,56.9,80.9,120,147,187,234,283,332
Bahamas,840,880,948,1020,1060,1100,1100,1180,1250,1340,1430,1700,1790,1830,1740,1740
Bahrain,482,486,504,479,496,497,528,580,640,661,688,693,725,794,771,864
Barbados,450,465,494,530,569,601,635,671,696,732,774,838,875,958,843,1000
Belarus,69.1,88.3,91.1,89.3,74,63.5,81.8,94.8,118,154,212,240,300,373,311,320
Belgium,2140,2150,1910,1980,2010,1840,1880,2070,3010,3520,3620,3640,4170,4750,4750,4620
Belize,119,102,110,109,109,132,152,155,166,168,176,186,209,219,242,239
Benin,18,18.6,16.3,17.5,18,15.7,17.4,17.3,23,25,27,28.4,31,33,34,31
Bhutan,18.8,27.4,35.3,37.2,50.5,51.6,50.1,69.9,50.4,48.2,57.8,69.2,87.1,94.1,90.7,109
Bolivia,40.2,44.8,44.9,54.4,63.1,61.4,60.6,59.7,51.1,52.1,58.3,59,65.1,85.3,90.4,96.5
Bosnia and Herzegovina,63.8,94,88.9,94.7,114,106,111,125,178,243,263,305,394,506,495,499
Botswana,125,125,138,126,131,152,180,204,263,452,419,399,505,536,581,615
Brazil,316,350,356,336,242,265,228,203,214,257,388,492,610,715,734,990
Brunei,482,638,634,575,589,551,532,533,583,667,691,711,783,877,833,882
Bulgaria,81.8,55.2,63.9,82.8,96.3,97.7,129,154,201,238,274,297,375,474,463,435
Burkina Faso,10.7,11.9,10.9,12.5,13.3,10.9,11,12.7,17.6,22.6,26.4,26.2,29.8,36.5,38.8,39.8
Burundi,9.34,8.25,8.36,8.26,7.22,7.04,6.91,6.59,6.31,9.59,13.4,17.5,17.6,18.3,18.6,20.7
Cambodia,20.1,29,23.5,18.1,17.8,18.6,22.4,25,30,32.3,35.1,31.9,31.8,38.9,40.9,45.2
Cameroon,25.1,34.5,28.9,29,29,26.5,28.2,32.2,40.3,43.4,44.9,46.8,52.9,63.8,60.4,61.3
Canada,1820,1830,1870,1850,1940,2090,2150,2250,2680,3040,3450,3910,4340,4620,4520,5220
Cape Verde,62.8,57.6,54.2,63.1,62.2,57.2,63.6,68.6,80.9,101,97.9,122,137,156,150,155
Central African Republic,12.3,11.3,10.8,10.2,10.2,9.97,9.85,10.7,11.9,12.9,12.5,13.7,16.7,18.5,18.3,18.2
Chad,11.9,12.2,11.5,12.3,11.3,10.6,12.1,18,17.3,23.8,25.6,24.4,28.4,28,28.4,30.6
Chile,333,387,417,425,395,405,371,359,346,420,502,592,683,765,802,947
China,21.1,26.4,31,35.4,38.6,43.4,47.3,54.1,61.2,70.1,80.4,93.4,115,157,191,221
Colombia,186,230,270,239,206,184,178,175,175,206,254,273,337,377,392,472
Comoros,19,17.7,15.8,13.8,13.2,10.4,8.78,12.1,16.3,19.6,22.1,24.2,29.3,34.5,23.7,33.2
"Congo, Dem. Rep.",4.8,4.41,5.44,6.32,11.5,13.3,5.89,4.54,5.46,6.49,7.33,8.96,10.2,13.7,16.7,15.8
"Congo, Rep.",24.3,25.7,23.4,23.9,23.5,21.7,21,22.4,27,34.2,41.5,50.1,60.2,80.4,67,72.3
Costa Rica,220,222,216,236,255,266,292,316,327,342,360,410,524,618,667,811
Cote d'Ivoire,37.9,44.7,46.6,53,42.9,31.8,24.7,23.1,29.7,36.9,39,44.3,61.3,71.8,61,59.8
Croatia,323,369,302,372,372,377,376,375,495,614,705,790,1010,1220,1110,1070
Cuba,113,120,127,135,154,168,180,195,202,206,302,358,586,585,672,607
Cyprus,706,755,716,764,781,744,776,886,1240,1340,1410,1470,1670,1920,1790,1710
Czech Republic,374,403,369,398,384,361,404,523,666,771,881,967,1140,1470,1500,1480
Denmark,2830,2880,2630,2670,2930,2610,2730,3020,3750,4380,4650,5010,5670,6350,6450,6420
Djibouti,32,30.7,34,39.4,46.9,43.7,41.4,42.5,50.1,47.4,63.2,65.8,78,82.5,94.4,91.7
Dominica,186,199,213,216,227,231,236,238,243,248,261,279,309,328,342,419
Dominican Republic,108,113,133,143,150,175,174,178,133,126,198,211,231,269,279,323
Ecuador,72.9,80.8,88.5,83.4,64.9,53.6,78.2,108,145,163,182,205,229,270,321,328
Egypt,37.4,45.6,58.5,65.8,72.8,78.6,75.8,73.6,58.1,58.9,65.9,75.2,84.6,101,114,123
El Salvador,106,135,155,169,168,177,181,183,183,189,202,203,207,216,228,237
Equatorial Guinea,21.8,26.5,43.9,49,39.9,46.4,64.5,146,125,189,230,279,372,751,805,896
Eritrea,8.43,7.76,9.1,9.34,9.08,9.09,9.17,7.46,7.7,8.18,7.84,8.41,9.04,10.7,10.7,11.9
Estonia,166,219,223,223,271,250,252,298,409,517,517,623,836,1060,967,853
Ethiopia,3.99,4.22,4.4,4.54,4.51,5.32,5.65,5.3,5.92,5.99,6.8,8.33,11.8,14,15.6,15.7
Fiji,78.3,87.9,92.3,65.6,75.1,79.8,66.4,78.1,94.2,119,132,144,152,153,145,154
Finland,2010,2010,1850,1850,1860,1700,1780,2030,2570,2970,3150,3300,3740,4250,4080,3980
France,2740,2740,2440,2480,2450,2200,2230,2490,3160,3630,3790,3950,4480,4940,4840,4690
Gabon,136,150,117,134,116,102,107,122,154,160,164,191,234,263,266,302
Gambia,21.2,18.9,17.8,20.5,19.8,18.8,18.2,15.8,15.1,17.3,18.9,19.3,21.5,26.4,26.8,26.1
Georgia,29,46,57,48.6,36.7,44.7,53.7,64,74.1,96.8,123,146,188,262,251,272
Germany,3130,3100,2700,2730,2690,2390,2400,2610,3210,3530,3630,3750,4230,4720,4720,4670
Ghana,19.9,20.4,20.5,21.3,20.5,12.3,15.2,14.6,17.9,25.8,34.8,48,65.6,68.5,54.5,67
Greece,1060,1110,1060,1060,1110,917,1050,1220,1580,1810,2090,2290,2680,3080,3020,2730
Grenada,191,203,219,247,292,339,392,354,359,336,412,436,448,474,462,439
Guatemala,53.7,55.6,63.9,74.6,79.9,94.9,104,109,115,123,136,170,184,199,190,197
Guinea,27.1,27.8,26.3,25,23.7,21.1,20.1,21.4,21.6,21.9,16.2,16.9,22.8,26,25.1,23
Guinea-Bissau,25.5,20.3,16,12.2,10.6,10.7,9.23,11,20.4,21.6,23.5,23.7,27.5,33.1,48,46.9
Guyana,41.5,45.4,51,49.4,42.8,54.3,53.4,56.3,55.7,80.3,102,117,123,154,167,159
Haiti,22.6,23.8,24.6,27,27.2,25.7,22.5,18.9,14.6,18.4,19.6,29.3,34.5,35.3,40.1,46.4
Honduras,37.9,35.5,39.5,49.7,50.7,62.2,65.7,73.7,79.7,85.1,82.7,89,102,116,135,
Hungary,323,315,309,335,345,326,375,496,690,813,909,908,1020,1120,957,942
Iceland,2210,2280,2650,2780,3220,3030,2670,3230,4030,4560,5320,5150,6180,4930,3700,3720
India,15.7,15.9,18.4,18.4,18.2,19.6,20.9,21.1,23.7,26.4,30.6,33.1,40.4,43.1,44.3,54.3
Indonesia,19.8,22.5,20.3,9.55,15.2,15.1,16.6,20,26.8,27.1,30.1,39.7,50.6,53.4,56.4,76.9
Iran,68.2,86.1,110,134,178,231,294,102,96.7,117,156,174,220,277,287,317
Iraq,0,8.53,8.89,9.16,15.2,34.3,24.5,9.53,18.4,62.4,61.9,66.1,108,161,200,247
Ireland,1240,1330,1400,1460,1560,1560,1830,2210,2910,3450,3690,3930,4550,5240,4710,4240
Israel,1280,1380,1440,1400,1320,1460,1500,1340,1370,1410,1490,1540,1740,2070,2000,2180
Italy,1440,1630,1600,1650,1640,1550,1610,1780,2180,2570,2710,2850,3100,3470,3320,3250
Jamaica,96.6,123,178,175,162,190,178,180,162,183,171,187,230,272,228,247
